,Review_title,Review_text,Ratings
28,Value-for-money,Satisfied form this product 👍,4
29,Terrific,"Superb product ❤️
Ram, processor, performance everything good 😊
Go for it 💯❤️",5
30,Delightful,Such an Awesome product. Quite good for office purposes.,4
31,Good,Battery backup is not good and also it has heating issue !,3
32,Worth every penny,"Good Quality ☺️😊☺️ and display is perfect but battery services not best,",5
33,Pretty good,It's very good according to this generation..!!,4
34,Pretty good,"Nice product
Worth the money..
If you doesn't looking for higher memory then definitely you can purchase this product",4
35,Great product,HP one of the best quality laptop ever with cheap cost,5
36,Delivery boy behavior is very bad like a Misconduct,I am Not Satisfied This Product build quality Not Good,1
37,Must buy!,very very statisfied product,5
38,Fabulous!,"Good looking and easy to use

Thanks",5
39,Value-for-money,Good product got it for 32k,4
40,Does the job,Order in First Time Heating Problem Issue but I replace and I feel good,3
41,Must buy!,Good but dis with battery backup,5
42,Classy product,Good Product,5
43,Worth the money,Very nice laptop,4
44,Good choice,Beautiful & smooth,4
45,Awesome,Actually this product is very good i am satisfied :),5
46,Worth every penny,i got laptop for the first time it's very good,5
47,Just wow!,Beautiful color and value for money 👏👏👏👏👏👏🥳 but the gift of bygu is not relevant as there r no kids in our house who needs tuitions till 10 th standard,5
48,Good choice,"I like this laptop 😍❤, Everything is good with that price range, but I'm facing laptop heating problem sometime 🤨",4
49,Mind-blowing purchase,Good quality,5
50,Fabulous!,"I like this product,",5
51,Delightful,Nice product,4
52,Expected a better product,Battery backup very poor,2
53,Value-for-money,"Good products. All-round processor, but heated up while working on charging condition.I will suggest a cooler pad. But build quality is normal as it is less quality plastic made body.Actually I purchased it because of the quad core processor in this price range.",4
54,Absolute rubbish!,Waste for money ...build quality is very poor,1
55,Pretty good,Awesome product 👍,4
56,Good choice,Fast boot.... But lagging when 2aplication work.... Battery backup around 3-4hr...display super.... Design super.... Camera average.... Sound very good..... Normal heating...,4
57,Pretty good,Fantastic!,4
58,Highly recommended,Very good 👍😊,5
59,Just okay,"Handle it with care, very delicate. It gets fingerprint and dust particles on screen easily. Clock speed should have been proved. Otherwise good product.",3
60,Value-for-money,Very nice Product 😊😊,4
61,Wonderful,Supub supub supub,4
62,Great product,Super.,5
63,Does the job,"Exhaust Fan is in bottom which leads to heating, I always use laptop with stand. Without stand it is heating very hard. Rest are good in this price.",3
64,Classy product,Best laptop at this price good for gaming and very fast 👌👌👌,5
65,Pretty good,Good product,4
66,Brilliant,nice love it,5
67,Excellent,No regrets!,5
68,Terrific purchase,Don't think just go for it...,5
69,Fabulous!,Nice product,5
70,Great product,Good product,5
71,Worth the money,Happyy 💯,4
72,Mind-blowing purchase,Just go for it,5
73,Mind-blowing purchase,Superb. Satisfied,5
74,Terrific purchase,Nice product.,5
75,Must buy!,Good product thanks Flipkart,5
76,Worth the money,Good,4
77,Value-for-money,value for money,4
78,Perfect product!,My brother love this..... thank you flpkrt,5
79,Mind-blowing purchase,Nice product,5
80,Value-for-money,Total awesome,4
81,Worth every penny,Excellent performance,5
82,Excellent,Very good product.Only thing not there is lights in the keys,5
83,Delightful,I like the smart size...,4
84,Best in the market!,Superb + product but delivery time so late,5
85,Best in the market!,Gd product at this price sagment.,5
86,Must buy!,Overall a good purchase in this price range.No need to give money for installation or commissioning.,5
87,Really Nice,Good laptop,4
88,Worth every penny,Just go for it 🔥👍,5
89,Worth every penny,Nice 👍👍,5
90,Worth every penny,Good,5
91,Worth the money,"Almost good for beginners,",4
92,Perfect product!,Very nice app,5
93,Very Good,Good purchase. I purchased this for kid's studying purposes.,4
94,Mind-blowing purchase,Best for students,5
95,Must buy!,Excellent product for daily use,5
96,Does the job,Heating problem,3
97,Excellent,Easy to work,5
98,Great product,"Overall a very good laptop.
Thanks to Flipkart.",5
99,Just wow!,Everything was fine,5
100,Just wow!,Everything is up to the mark. Only drawback is its build quality. Price point of view it is fantastic.,5
101,Terrific purchase,"Compact, Good Configuration, Easy to navigate.",5
102,Terrific,Good,5
103,Highly recommended,Superb product,5
104,Good choice,Good laptop,4
105,Mind-blowing purchase,Very good product,5
106,Brilliant,Very good laptop,5
107,Must buy!,super,5
108,Very Good,Good,4
109,Did not meet expectations,Low power,1
110,Fabulous!,Super handy product,5
111,Classy product,Product is good & delivery on time,5
112,Delightful,Very smooth..,4
113,Fabulous!,Good quality product with beast performance. Value for money product,5
114,Worth every penny,Nice product and very comfortable 👌,5
115,Delightful,"Battery backup little low
Performance is awesome",4
116,Mind-blowing purchase,I received beefore 3 days sound quality is awesome and quality of display also gooddont think it go for it good value for budeget,5
117,Worth every penny,Perfect laptop for me .,5
118,Value-for-money,Satisfied form this product 👍,4
119,Terrific,"Superb product ❤️
Ram, processor, performance everything good 😊
Go for it 💯❤️",5
120,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
121,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
122,Worth the money,"Best Lenovo laptop under 40000
If you are looking for 512gb SSD 8gb ram.
Lenovo IdeaPad series looks great.
For avg usage it's perfect rather more than avg user's can also go for this. Battery is the only thing which not met my expectations but it charges quickly. I am satisfied with keyboard feedback. Speaker are also okayish,
Lastly display is a bit whiteish we have to reduce brightness level since its TN display not IPS panel. Otherwise all good. Got it at 37500. Dont buy above 40k any d...
READ MORE",4
123,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
124,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
125,Awesome,Nice product in this price point I recommend you....you can go for it,5
126,Highly recommended,"Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5
127,Perfect product!,AWESOME ❤️,5
128,Super!,"This is a very good laptop, its battery and display are also good, fast charging is also there, value for money",5
129,Just wow!,"Nice product in this price range ..
Go for it",5
130,Worth every penny,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",5
131,Terrific,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,5
132,Worth the money,"Best Lenovo laptop under 40000
If you are looking for 512gb SSD 8gb ram.
Lenovo IdeaPad series looks great.
For avg usage it's perfect rather more than avg user's can also go for this. Battery is the only thing which not met my expectations but it charges quickly. I am satisfied with keyboard feedback. Speaker are also okayish,
Lastly display is a bit whiteish we have to reduce brightness level since its TN display not IPS panel. Otherwise all good. Got it at 37500. Dont buy above 40k any d...
READ MORE",4
133,Best in the market!,"One of the best student laptop money can buy, been using it for over a month now. It's fast and responsive and does not have heat issues.",5
134,Great product,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,5
135,Awesome,Nice product in this price point I recommend you....you can go for it,5
136,Highly recommended,"Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",5
137,Perfect product!,AWESOME ❤️,5
138,Super!,"This is a very good laptop, its battery and display are also good, fast charging is also there, value for money",5
139,Just wow!,"Nice product in this price range ..
Go for it",5
140,Classy product,Very nice laptop.,5
141,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
142,Wonderful,"Fast Delivery, Good product but battary backup not good, Display is average, value for money in 38k",4
143,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
144,Excellent,"Wonderful product battery backup is Good and performs well ,",5
145,Great product,Very good product,5
146,Worth the money,Nice,4
147,Very Good,Superr,4
148,Not good,Battery drains very fast,2
149,Terrific,"I use autocad and revit software not too lag
Nice smooth laptop",5
150,Delightful,"Really nice. Looks like premium laptops.
Awesome performance",4
151,Brilliant,Best product...awesome colour and everything up to the mark,5
152,Wonderful,Nice product 40k range,5
153,Simply awesome,Value for money and the performance is really great.,5
154,Classy product,This laptop is good in battery backup I used it for 6 hours but still battery remain 15% and over all it is good product,5
155,Simply awesome,"Best Performance in this price bracket.....
Overall a premium experience from lenovo.",5
156,Must buy!,Such a guys this is so fantastic product,5
157,Expected a better product,Bettery Backup is not as per the description. speaker sound is very very low. very disappointed with this.,2
158,Good choice,Very nice service by Flipkart 🤗🤗🤗🤗 delivery boy give us detailed information about this product 👍👍👍,4
159,Good,Battery backup is hardly 5hrs on the normal usage:(,3
160,Fabulous!,"Awesome product ..but little issue with microphone ..if we connect the earphones to the Lap ,it's getting muted n for the each time we need to go to settings n change it.. except that everything is OK..
There is no heating issue , we can use it for longer time ..
When we just open the laptop it's automatically gets switched on ..",5
161,Excellent,Every thing is just fine but the tn display is so annoying as always,5
162,Excellent,Nice,5
163,Just wow!,Quality and product is outstanding. And my first choice is Lenovo. Just love it,5
164,Pretty good,Best,4
165,Mind-blowing purchase,"Lenovo IdeaPad laptop is very nice,no defects and good product",5
166,Perfect product!,Very good but little bit heating,5
167,Just wow!,Very Good Budget Laptop,5
168,Good choice,This is awesome go for it excellent 🥰🥰🥰,4
169,Value-for-money,Suitable for students,4
170,Classy product,Excellent product.,5
171,Pretty good,Nice value for money.,4
172,Must buy!,Nice,5
173,Super!,Good enough...,5
174,Simply awesome,Good,5
175,Wonderful,Amazing quality and affordable,5
176,Don't waste your money,Battery backup is worst,1
177,Just wow!,Lenovo idea pad 3 core is 11th Gen 8gb/512 ram fulfilled my requirement as per stated specification and configurations,5
178,Worth the money,Awesome,4
179,Great product,Nice product value for money.,5
180,Did not meet expectations,Bad,1
181,Terrible product,"Because in many days i try to return this laptop but Flipkart service is very bad.so i was request you return this laptop and refund my money.
I like another laptop but my father by mistake buy this laptop.",1
182,Worth the money,"Good Laptop from lenovo. Design and the finish of the product is great u will feel premium whenever u use laptop. No question about speed, Windows 11 is good, speakers is not loud enough. Previously i ordered Asus but that laptop have keyboard issues. Hence this time i ordered Lenovo and so far I am happy with the product. If u r not looking for gaming then this laptop will fulfill ur daily needs.",4
183,Worst experience ever!,Very bad not working keyboard install software I am very angry flipcart,1
184,Wonderful,Jeeves is best,5
185,Awesome,Good product.....display is very good,5
186,Must buy!,Very good product at this price range thankyou lenovo and thankyou Flipkart.,5
187,Really Nice,"Great laptop in this price range.

Works very well
Happy with the product",4
188,Super!,I like this product,5
189,Brilliant,Simply Superb,5
190,Best in the market!,Best laptop...,5
191,Value-for-money,"Nice product.

Good for students",4
192,Great product,Best product,5
193,Worth the money,NYC product in this price,4
194,Super!,Superb..,5
195,Best in the market!,Great Product.,5
196,Excellent,Nice product 👍,5
197,Terrific,Goood,5
198,Highly recommended,"If you want long battery back up, don't go for it. Also the display , colour is not satisfactory. But for students it is a good product.",5
199,Great product,A very good product for a given price. It's more than sufficient for daily use home and office purpose. Slim light weight with incredibly fast operations.,5
200,Simply awesome,Nice speed i m a trader and this laptop working nicely,5
201,Wonderful,Hardware body not up to that level but it's ok best for students,5
202,Worth every penny,Very good product,5
203,Not recommended at all,"Donot buy
Battery is very bad
Sound is extremely slow
Waste of money",1
204,Wonderful,Very good laptop in this price range but battery backup and speaker sound should be better. Battery backup in normal use is 4 to 5 hours only.,4
205,Classy product,Nice laptop thank u flipkart,5
206,Really Nice,"Screen is little dull , performance is excellent
Worth for the low price
Suits for users with moderate use
Overall good product so far , will update after a month",4
207,Awesome,Good product,5
208,Great product,"The laptop is really amazing in the budget , build quality and design well finished",5
209,very goog,genuine product delivered by seller and its working fine.,5
210,Wonderful,Nice product,4
211,Worth the money,Good product... Thanks flipkart,4
212,Just wow!,Perfect,5
213,Awesome,Superb leptop in this range,5
214,Decent product,Good to use,3
215,Classy product,Fantastic product,5
216,Good,It's Good laptop for students and display is not Ips display & product is ok,3
217,Really Nice,Awesome laptop,4
218,Excellent,I am happy with this laptop in this price,5
219,Terrific purchase,Good product,5
220,Good quality product,"Laptop is really very good at this price range, go for it.",4
221,Brilliant,Good,5
222,Must buy!,Good product,5
223,Must buy!,Good,5
224,Best in the market!,Super,5
225,Wonderful,Good product,4
226,Just wow!,Osm product,5
227,Nice product,Excellent product but delivery very slow,4
228,Best in the market!,Nice Product,5
229,Mind-blowing purchase,Writing this after two weeks of usage. It really works good.,5
230,Classy product,Very nice laptop.,5
231,Excellent,"Performance of this laptop is very nice
Display quality is awesome",5
232,Wonderful,"Fast Delivery, Good product but battary backup not good, Display is average, value for money in 38k",4
233,Fabulous!,Just go for it .. best in this budget segment 😍💵,5
234,Excellent,"Wonderful product battery backup is Good and performs well ,",5
235,Great product,Very good product,5
236,Worth the money,Nice,4
237,Very Good,Superr,4
238,Not good,Battery drains very fast,2
239,Terrific,"I use autocad and revit software not too lag
Nice smooth laptop",5
240,Does the job,"Laptop booting and apps starting takes too long to start... frequently lagging...didnt expected this much of slow start for i3 11th gen.. and also, Poor camera...It should be better...

Design, display and sounds are great. Light weight is plus point.",3
241,Bad quality,It's taking more than a hour to restart and working processor is very slow.,2
242,Value-for-money,Performance is good compare to ssd process is slow,4
243,Nice,Slow running,3
244,Slightly disappointed,It took 1hour to get started and the processing is literally very slow.,2
245,Awesome,Very good at its range,5
246,Useless product,poor quality. not wprking properly,1
247,Absolute rubbish!,Baskwass my money is worst,1
248,Waste of money!,"Don't buy .. it's useless product..so much hitting problem also it's working too much slow...
Don't expect...",1
249,Excellent,Nice,5
250,Simply awesome,Superb design value for money,5
251,Best in the market!,"Excellent, fast, Efficient, If you are looking for office work, better go for this without any second thought.",5
252,Wonderful,Love one,5
253,Great product,Nice product and same as seen as the product.thx Flipkart tems,5
254,Slightly disappointed,Iam shutdown my laptop but when to i open laptop automatically open & battery back not given by 8 hours..,2
255,Terrible product,When i open a lid andvibam not pressing the power button but the laptop was autometically on,1
256,Pretty good,As of now okay doing good performance for the price paid. Will post my review after a month of usage.,4
257,Good quality product,Good Product,4
258,Great product,Great,5
259,Awesome,Worth for money spent,5
260,Simply awesome,Superb design value for money,5
261,Best in the market!,"Excellent, fast, Efficient, If you are looking for office work, better go for this without any second thought.",5
262,Wonderful,Love one,5
263,Great product,Nice product and same as seen as the product.thx Flipkart tems,5
264,Slightly disappointed,Iam shutdown my laptop but when to i open laptop automatically open & battery back not given by 8 hours..,2
265,Terrible product,When i open a lid andvibam not pressing the power button but the laptop was autometically on,1
266,Pretty good,As of now okay doing good performance for the price paid. Will post my review after a month of usage.,4
267,Good quality product,Good Product,4
268,Great product,Great,5
269,Awesome,Worth for money spent,5
270,Awesome,Worth for money spent,5
271,Best in the market!,Superb very nice,5
272,Really Nice,"Fantastic for everyday use. Not for gaming or heavy video rendering.
Multimedia experience is superb",4
273,Wonderful,Better,4
274,Best in the market!,Easy to use. Performance is good only. Designing is also good. Not facing any issues as of now. I'm happy to got it in offer price.,5
275,Just okay,"One day back I received the item everything is ok but, the only problem is when I open the laptop it's directly starting, without pressing of on and off button.",3
276,Brilliant,Nice product amazing performance. Best looks clean and smooth.,5
277,Wonderful,Must buy,4
278,Worthless,not recommended for buying.,1
279,Waste of money!,Please I request that everyone not buy any one product from Lenovo. Very bad products please avoid buying. Humble requests to everyone.,1
280,Just wow!,good,5
281,Super!,good product,5
282,Good quality product,Its a nice laptop at this price range..,4
283,Value-for-money,Good laptop and value of money,4
284,Good,I expect more but Alt button is not working and not effective working profromnce warest experience.,3
285,Great product,Very good,5
286,Excellent,Nice,5
287,Awesome,Worth for money spent,5
288,Best in the market!,Superb very nice,5
289,Really Nice,"Fantastic for everyday use. Not for gaming or heavy video rendering.
Multimedia experience is superb",4
290,Wonderful,Better,4
291,Best in the market!,Easy to use. Performance is good only. Designing is also good. Not facing any issues as of now. I'm happy to got it in offer price.,5
292,Just okay,"One day back I received the item everything is ok but, the only problem is when I open the laptop it's directly starting, without pressing of on and off button.",3
293,Brilliant,Nice product amazing performance. Best looks clean and smooth.,5
294,Wonderful,Must buy,4
295,Worthless,not recommended for buying.,1
296,Waste of money!,Please I request that everyone not buy any one product from Lenovo. Very bad products please avoid buying. Humble requests to everyone.,1
297,Must buy!,Great purchase,5
298,Classy product,In thia price best laptop must buy for official use,5
299,Good quality product,Value for money but heat generated is more!,4
300,Terrible product,"Touchpad have stopped working within three days, I am trying to return it but flipkart is not accepting my request😡😡😡😡😡 BEWARE GUYS",1
301,Wonderful,"It's been a week am having this product. Excellent design and display, however battery performance is not that good. Observed overheating and increased fan speed while working. Value for money product. Overall performance needs to be analysed later as I didn't got to use it full and maximum.",4
302,Brilliant,Good Configaration in best price but battary backup not as expected.,5
303,Just wow!,Got this 2 days back for 38k and it's a great budget laptop... Was looking for a Hybrid drive ( 256SSD plus 1 TB HDD) under 40 and this is perfect for me. Battery life is okay. Looks great and is pretty fast. People complaining about heating issues but I have not faced that yet.. Also one can also select the fan speed at the My Asus app on your laptop. Boot speed plus finger sensor is on point,5
304,Great product,"Great ! My first laptop .
👌👌
Gjjb
Buy it.",5
305,Terrific purchase,"HELLO EVERYONE
Excellent Performance
1-2 Hours Battery Back Up On heavy Usage with wifi multitasking
Normal usage 4 hours Battery Backup
220GB SSD 930 GB HDD Available
Nice Design
Except delivery issue Overall laptop is Great @38000.",5
306,Terrific,Well product,5
307,Fabulous!,Beat product ever,5
308,Delightful,Product is good but battery quality is not good . Heating problem is also there,4
309,Worth the money,Not bad....,4
310,Must buy!,Worth for money,5
311,Worst experience ever!,"Everything fine excluding display quality... Very bad display than LCD displays... Can watch things on screen from only one angle, if slightly change the watching angle then can't see anything, only can see some shades.... Disappointed with this product.. Not value for the money.. There is no more return option for bad display quality....Never buy.. Worst display...",1
312,Decent product,most of the time Cursor aarrow not working,3
313,Just wow!,Got this 2 days back for 38k and it's a great budget laptop... Was looking for a Hybrid drive ( 256SSD plus 1 TB HDD) under 40 and this is perfect for me. Battery life is okay. Looks great and is pretty fast. People complaining about heating issues but I have not faced that yet.. Also one can also select the fan speed at the My Asus app on your laptop. Boot speed plus finger sensor is on point,5
314,Great product,"Great ! My first laptop .
👌👌
Gjjb
Buy it.",5
315,Terrific purchase,"HELLO EVERYONE
Excellent Performance
1-2 Hours Battery Back Up On heavy Usage with wifi multitasking
Normal usage 4 hours Battery Backup
220GB SSD 930 GB HDD Available
Nice Design
Except delivery issue Overall laptop is Great @38000.",5
316,Terrific,Well product,5
317,Fabulous!,Beat product ever,5
318,Delightful,Product is good but battery quality is not good . Heating problem is also there,4
319,Worth the money,Not bad....,4
320,Must buy!,Worth for money,5
321,Worst experience ever!,"Everything fine excluding display quality... Very bad display than LCD displays... Can watch things on screen from only one angle, if slightly change the watching angle then can't see anything, only can see some shades.... Disappointed with this product.. Not value for the money.. There is no more return option for bad display quality....Never buy.. Worst display...",1
322,Decent product,most of the time Cursor aarrow not working,3
323,Decent product,It become heat within 5 minutes,3
324,Good,Great 👍,3
325,Great product,Good product😇,5
326,Really Nice,Nice product,4
327,Not good,Performance is very slow,2
328,Terrific purchase,"Overall best type for best quality laptop... l like loved it
All type work are easy and best product for all letest laptop and reaming price.",5
329,Must buy!,"Everything is Great.
Best part is the looks...✌️😅",5
330,Really Nice,"Very good product 🙂
Nice design and cool keyboard 👌
Performance is very fast ⚡⚡
Sound is also good 🎶🎵🎶🎵
Overall good product 👍👍",4
331,Nice product,It is a very good belly for money device,4
332,Super product,In this price range this is the best laptop i have ever seen,5
333,Value-for-money,Excellent,4
334,Worth the money,"Nice laptop, this is my 2nd perched. good looking, good performance and display also but battery back to to bad and one more issue which is Hitting other wise good for gaming. 👍👍👍",4
335,Wonderful,"Very good product , battery charger wire is not good",4
336,Just okay,Good,3
337,Nice,"Laptop is awesome , but battery and speaker could be more stronger and louder respectively.",3
338,Wonderful,"Everything is perfect except battery performance
Only 4 hours backup
So if you r looking for more back up than please don't buy
Overall laptop is good",4
339,Terrific purchase,Very good product thanku Flipkart 😘,5
340,Excellent,Good,5
341,Good quality product,"The battery backup is mediocre.

I completely removed Windows 11 from it by mistake and ended up installing Pop!os

The display is okaish and rather underwhelming and the Performance is amazing.

I would have paid more for display and a better battery. Display changes if you change your viewing angle and I was used to IPS 4k display and this is a stepdown, other than that, its good.

Again, the Performance is good and design is amazing.",4
342,Pretty good,Very nice product good value for money product nice performance and screen quality everything is good except battery life battery drains very fast,4
343,Wonderful,"Design,built quality, specifications every thing is good,but only issue is the battery backup.",4
344,Awesome,Good products,5
345,Highly recommended,good,5
346,Super!,Nice looking and exclusive model with finger print lock. Sound is very good. Budget laptop,5
347,Decent product,It become heat within 5 minutes,3
348,Good,Great 👍,3
349,Great product,Good product😇,5
350,Really Nice,Nice product,4
351,Not good,Performance is very slow,2
352,Terrific purchase,"Overall best type for best quality laptop... l like loved it
All type work are easy and best product for all letest laptop and reaming price.",5
353,Must buy!,"Everything is Great.
Best part is the looks...✌️😅",5
354,Really Nice,"Very good product 🙂
Nice design and cool keyboard 👌
Performance is very fast ⚡⚡
Sound is also good 🎶🎵🎶🎵
Overall good product 👍👍",4
355,Nice product,It is a very good belly for money device,4
356,Super product,In this price range this is the best laptop i have ever seen,5
357,Highly recommended but wait for upcoming mi laptop,"I am civil engineer and i installed SketchUp and latest autocad which is i using since 1 week and it running smoothly , Battery was definitely Better than Dell and HP ..it give you min 5 hours by medium usage, only backlight keyboard was not given as well type C charger ..

I think if you are buying these laptop now , then you must check realmebook and mi upcoming laptop ...",5
358,Very Good,Everything is good except display. The processor is very fast and battery backup is good. Charging is also fast. Booting time is very small but screen is pathetic. You can't see screen properly at a small angle from screen. Redmi phones are famous for good Quality screens but what did redmi do in laptop screen is hard to understand. I would not recommend this due to screen quality. Go for a good quality LED screen laptop.,4
359,Fabulous!,"Super work horse

Latest processor, ticks all right boxes , economical pricing, Leaves competition far behind. MI (Xiaomi) is set to conquer the laptop market, the way it did in the smart phone & smart tv segments.innovation at its best",5
360,Must buy!,"Worth every penny. Awesome performance. All ports available as per my need. Display could have been slightly better but nevertheless it's good. Would have been happier if they had the same laptop in a 14"" screen.",5
361,Brilliant,"Superb laptop with super battery backup. I mostly used this laptop for normal use and meetings on zoom or WebEx. And it gives at least 7 hrs of battery backup with single charge. Also it supports fast charging so this laptop gets fully charged in less than 1.5 hrs which is very good.

One thing is missing that type C socket and keyboard light. Otherwise laptop is very fabulous.",5
362,Perfect product!,"Amazing Power in this processer..

You can do everything heavy tasks.

I am playing GTA V daily approximately 3 hours with single charge in Full HD Graphics With High Setting and I am proud to say it's playing very smoothly without lagging amazing laptop with this price range. 👍🏻",5
363,Terrific purchase,"Battery :- 3 hours max (biggest cons)
Design:- Great look n feel.
Performance :- Amazing.
Display :- brightness level is good, screen is not IPS panel and so it's not very shiny and side angles visibility is low. But you are buying a laptop and not TV.


Also on keyboard, FN key is always On so pressing F1 to F12 Activates function keys instead of F1 to F12 value.
To sort this out use FN key + ESC key.",5
364,Mind-blowing purchase,"Pure fire ,
Must buy value for money 💰
Its the best you can get for this price go for it i did fbi level research finally bought this its amazing
Blazing fast .",5
365,Super!,"So the laptop is great! At a price of 45k u should go for it the PERFORMANCE is good handles normal tasks and programing very smoothly

I also played games like cod Morden warfare, assassins creed 2, GTAs, farcrys and many okay all I played were the games from 2009 to 2015,16 it performs well with normal heat if u want to play New games it will handle it for sure as the iris Xe does the work pretty well. But it's not for gaming! 😅

Battery is good for normal work

Okay so so many people have...
READ MORE",5
366,Classy product,"I bought it at 45k , i5 11 gen which is best at this price , decent look. Now working fine it's only 15days.. so can't say much",5
367,Highly recommended but wait for upcoming mi laptop,"I am civil engineer and i installed SketchUp and latest autocad which is i using since 1 week and it running smoothly , Battery was definitely Better than Dell and HP ..it give you min 5 hours by medium usage, only backlight keyboard was not given as well type C charger ..

I think if you are buying these laptop now , then you must check realmebook and mi upcoming laptop ...",5
368,Very Good,Everything is good except display. The processor is very fast and battery backup is good. Charging is also fast. Booting time is very small but screen is pathetic. You can't see screen properly at a small angle from screen. Redmi phones are famous for good Quality screens but what did redmi do in laptop screen is hard to understand. I would not recommend this due to screen quality. Go for a good quality LED screen laptop.,4
369,Fabulous!,"Super work horse

Latest processor, ticks all right boxes , economical pricing, Leaves competition far behind. MI (Xiaomi) is set to conquer the laptop market, the way it did in the smart phone & smart tv segments.innovation at its best",5
370,Must buy!,"Worth every penny. Awesome performance. All ports available as per my need. Display could have been slightly better but nevertheless it's good. Would have been happier if they had the same laptop in a 14"" screen.",5
371,Brilliant,"Superb laptop with super battery backup. I mostly used this laptop for normal use and meetings on zoom or WebEx. And it gives at least 7 hrs of battery backup with single charge. Also it supports fast charging so this laptop gets fully charged in less than 1.5 hrs which is very good.

One thing is missing that type C socket and keyboard light. Otherwise laptop is very fabulous.",5
372,Perfect product!,"Amazing Power in this processer..

You can do everything heavy tasks.

I am playing GTA V daily approximately 3 hours with single charge in Full HD Graphics With High Setting and I am proud to say it's playing very smoothly without lagging amazing laptop with this price range. 👍🏻",5
373,Terrific purchase,"Battery :- 3 hours max (biggest cons)
Design:- Great look n feel.
Performance :- Amazing.
Display :- brightness level is good, screen is not IPS panel and so it's not very shiny and side angles visibility is low. But you are buying a laptop and not TV.


Also on keyboard, FN key is always On so pressing F1 to F12 Activates function keys instead of F1 to F12 value.
To sort this out use FN key + ESC key.",5
